更新时间,#genre#
2025-02-08 18:25:26,url
☘️广东频道,#genre#
广东珠江,http://cdn2.132.us.kg/live/gdzj/stream.m3u8$订阅源
广东珠江,http://qjrhc.jydjd.top:2911/udp/224.1.100.23:11111$订阅源
广东珠江,http://qjrhc.jydjd.top:2911/udp/224.1.100.24:11111$订阅源
广东体育,http://cdn2.132.us.kg/live/gdty/stream.m3u8$订阅源
广东体育,http://qjrhc.jydjd.top:2911/udp/224.1.100.33:11111$订阅源
广东体育,http://qjrhc.jydjd.top:2911/udp/224.1.100.34:11111$订阅源
广东新闻,http://qjrhc.jydjd.top:2911/udp/224.1.100.5:11111$订阅源
广东新闻,http://qjrhc.jydjd.top:2911/udp/224.1.100.155:11111$订阅源
广东新闻,http://183.3.134.56:9901/tsfile/live/1005_1.m3u8$订阅源
广东卫视,http://61.136.172.236:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
广东卫视,http://59.56.215.8:8000/rtp/239.61.2.33:8192$组播源
广东卫视,http://223.240.169.141:4022/rtp/238.1.78.161:7160$组播源
广东卫视,http://218.24.193.146:808/rtp/232.0.0.130:1234$组播源
广东卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.96:11111$订阅源
广东卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.95:11111$订阅源
广东卫视,http://119.32.12.32:2901/udp/224.1.100.96:11111$订阅源
广东民生,http://qjrhc.jydjd.top:2911/udp/224.1.100.152:11111$订阅源
广东民生,http://121.33.239.242:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
广东民生,http://121.33.239.242:9901/tsfile/live/1003_1.m3u8$订阅源
大湾区卫视,http://59.56.215.8:8000/rtp/239.61.3.5:9548$组播源
大湾区卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.7:11111$订阅源
大湾区卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.153:11111$订阅源
大湾区卫视,https://www.freetv.top/migu/608917627.m3u8?migutoken=bad0a45eea94649f2e7f1b35e1d98d034b874a02984a76abb21e4537dee28f974e6da241dc7705109722be71c8b1302302b51cd4cb06c69ca55fdcf7279d415e0a0fce7c492b6842956ab34fcc$订阅源
广州综合,http://qjrhc.jydjd.top:2911/udp/224.1.100.36:11111$订阅源
广州综合,http://qjrhc.jydjd.top:2911/udp/224.1.100.35:11111$订阅源
广州综合,http://119.32.12.32:2901/udp/224.1.100.36:11111$订阅源
广州影视,http://qjrhc.jydjd.top:2911/udp/224.1.100.88:11111$订阅源
广州影视,http://qjrhc.jydjd.top:2911/udp/224.1.100.87:11111$订阅源
广州影视,http://14.19.151.0:9900/udp/239.253.43.73:5146$订阅源
广州竞赛,http://qjrhc.jydjd.top:2911/udp/224.1.100.105:11111$订阅源
广州竞赛,http://qjrhc.jydjd.top:2911/udp/224.1.100.106:11111$订阅源
广州竞赛,http://119.32.12.32:2901/udp/224.1.100.105:11111$订阅源
江门综合,http://14.19.151.0:9900/udp/239.77.0.201:5146$订阅源
江门综合,http://14.112.86.85:4022/udp/239.77.0.201:5146$订阅源
江门综合,http://113.101.245.67:9988/udp/239.77.0.201:5146$订阅源
江门侨乡生活,http://14.19.151.0:9900/udp/239.77.0.202:5146$订阅源
江门侨乡生活,http://14.112.86.85:4022/udp/239.77.0.202:5146$订阅源
江门侨乡生活,http://113.101.245.67:9988/udp/239.77.0.202:5146$订阅源
佛山综合,http://14.19.151.0:9900/udp/239.253.43.57:5146$订阅源
佛山综合,http://14.112.86.85:4022/udp/239.253.43.57:5146$订阅源
佛山综合,http://113.101.245.67:9988/udp/239.253.43.57:5146$订阅源
深圳卫视,http://61.136.172.236:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
深圳卫视,http://59.56.215.8:8000/rtp/239.61.3.46:9794$组播源
深圳卫视,http://218.24.193.146:808/rtp/232.0.0.110:1234$组播源
深圳卫视,http://223.240.169.141:4022/rtp/238.1.78.156:7120$组播源
深圳卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.39:11111$订阅源
深圳卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.40:11111$订阅源
深圳卫视,http://119.32.12.32:2901/udp/224.1.100.40:11111$订阅源
汕头综合,http://14.19.151.0:9900/udp/239.77.1.130:5146$订阅源
汕头综合,http://14.112.86.85:4022/udp/239.77.1.130:5146$订阅源
汕头综合,http://14.112.86.85:4022/udp/239.253.43.45:5146$订阅源
汕头经济,http://14.19.151.0:9900/udp/239.77.1.131:5146$订阅源
汕头经济,http://14.112.86.85:4022/udp/239.77.1.131:5146$订阅源
汕头经济,http://14.112.86.85:4022/udp/239.253.43.46:5146$订阅源
汕头文旅,http://14.19.151.0:9900/udp/239.77.1.132:5146$订阅源
汕头文旅,http://14.112.86.85:4022/udp/239.253.43.47:5146$订阅源
汕头文旅,http://14.112.86.85:4022/udp/239.77.1.132:5146$订阅源
茂名综合,http://14.19.151.0:9900/udp/239.77.0.206:5146$订阅源
茂名综合,http://14.112.86.85:4022/udp/239.77.0.206:5146$订阅源
茂名综合,http://113.101.245.67:9988/udp/239.77.0.206:5146$订阅源
茂名公共,http://14.19.151.0:9900/udp/239.77.0.207:5146$订阅源
茂名公共,http://14.112.86.85:4022/udp/239.77.0.207:5146$订阅源
茂名公共,http://113.101.245.67:9988/udp/239.77.0.207:5146$订阅源
